Name,HOMFLY (vector)
9_16,{0; 3; {3; 4; 4; -3}; {3; 5; 8; 0; -2}; {3; 5; 5; 3; -1}; {3; 4; 1; 1}}
9_17,{0; 3; {-1; 1; 2; -3; 2}; {-1; 2; 1; -6; 5; -2}; {0; 2; -2; 4; -1}; {1; 1; 1}}
9_18,{0; 2; {2; 5; 1; 1; 0; -1}; {2; 5; 2; 4; 1; -1}; {2; 4; 1; 2; 1}}
9_19,{0; 2; {-2; 1; 1; -1; 0; 1}; {-1; 2; -2; 0; 1; -1}; {0; 1; 1; 1}}
9_20,{0; 3; {1; 4; 2; -2; 2; -1}; {1; 4; 3; -5; 5; -1}; {1; 3; 1; -4; 2}; {2; 2; -1}}
9_21,{0; 2; {-4; -1; -1; 1; 0; 1}; {-3; 0; 2; 0; 0; 1}; {-2; -1; -1; -1}}
9_22,{0; 3; {-1; 2; 2; -4; 4; -1}; {-1; 2; 1; -6; 6; -2}; {0; 2; -2; 4; -1}; {1; 1; 1}}
9_23,{0; 2; {2; 4; 1; 2; -2}; {2; 5; 2; 4; 0; -1}; {2; 4; 1; 2; 1}}
9_24,{0; 3; {-1; 2; 1; -3; 5; -2}; {-1; 2; 2; -6; 6; -1}; {-1; 1; 1; -4; 2}; {0; 0; -1}}
9_25,{0; 2; {0; 4; 1; 1; -3; 3; -1}; {0; 3; 1; 0; -4; 3}; {1; 2; -1; -2}}
9_26,{0; 3; {-3; -1; 1; -3; 3}; {-3; 0; 1; -5; 6; -2}; {-2; 0; -2; 4; -1}; {-1; -1; 1}}
9_27,{0; 3; {-1; 2; 1; -2; 3; -1}; {-1; 2; 2; -6; 5; -1}; {-1; 1; 1; -4; 2}; {0; 0; -1}}
9_28,{0; 3; {0; 3; -1; 5; -4; 1}; {0; 3; -2; 7; -5; 1}; {0; 2; -1; 4; -2}; {1; 1; 1}}
9_29,{0; 3; {-2; 1; -2; 5; -3; 1}; {-2; 1; -2; 7; -5; 1}; {-2; 0; -1; 4; -2}; {-1; -1; 1}}
9_30,{0; 3; {-2; 1; -1; 4; -4; 2}; {-2; 1; -1; 5; -7; 2}; {-1; 1; 2; -4; 1}; {0; 0; -1}}
9_31,{0; 3; {0; 2; -1; 4; -2}; {0; 3; -2; 7; -4; 1}; {0; 2; -1; 4; -2}; {1; 1; 1}}
9_32,{0; 3; {-3; 0; 1; -2; 1; 1}; {-3; 0; 1; -4; 3; -1}; {-2; 0; -2; 3; -1}; {-1; -1; 1}}
9_33,{0; 3; {-2; -1; -1; 2}; {-2; 1; -1; 4; -3; 1}; {-1; 1; 2; -3; 1}; {0; 0; -1}}
9_34,{0; 3; {-1; 1; 1; -1; 1}; {-2; 1; -1; 3; -4; 1}; {-1; 1; 2; -3; 1}; {0; 0; -1}}
9_35,{0; 1; {3; 5; 3; -1; -1}; {1; 4; 1; 2; 3; 1}}
9_36,{0; 3; {-4; -1; -2; 4; -3; 2}; {-4; -1; -1; 6; -5; 3}; {-3; -1; 2; -4; 1}; {-2; -2; -1}}
9_37,{0; 2; {-2; 1; 1; 0; -2; 2}; {-1; 2; -2; -1; 1; -1}; {0; 1; 1; 1}}
9_38,{0; 2; {3; 4; 4; -3}; {2; 5; 1; 7; -1; -1}; {2; 4; 1; 3; 1}}
9_39,{0; 2; {-4; -1; -1; 2; -2; 2}; {-3; 0; 3; -3; 1; 1}; {-2; -1; -2; -1}}
9_40,{0; 3; {0; 2; 2; -2; 1}; {2; 3; -2; 1}; {0; 2; -1; 2; -2}; {1; 1; 1}}
9_41,{0; 2; {-3; -1; 1; -3; 3}; {-2; 1; -3; 4; 0; -1}; {-1; 0; 2; 1}}
9_42,{0; 2; {-1; 1; 2; -3; 2}; {-1; 1; 1; -4; 1}; {0; 0; -1}}
9_43,{0; 3; {1; 4; 3; -4; 3; -1}; {1; 3; 4; -7; 4}; {1; 3; 1; -5; 1}; {2; 2; -1}}
9_44,{0; 2; {-1; 2; 1; -2; 3; -1}; {0; 2; -2; 3; -1}; {1; 1; 1}}
9_45,{0; 2; {-4; -1; -1; 2; -2; 2}; {-3; -1; 2; -2; 2}; {-2; -2; -1}}
9_46,{0; 1; {-3; 0; 1; -1; -1; 2}; {-2; -1; -1; -1}}
9_47,{0; 3; {0; 3; 1; 1; -2; 1}; {0; 2; -2; 4; -3}; {0; 2; -1; 4; -1}; {1; 1; 1}}
9_48,{0; 2; {-3; -2; -2; 3}; {-2; 0; 3; -1; 1}; {-1; -1; -1}}
9_49,{0; 2; {3; 4; 4; -3}; {2; 4; 2; 6; -2}; {2; 3; 1; 2}}
10_1,{0; 1; {-1; 4; 1; 0; 0; 0; -1; 1}; {0; 3; -1; -1; -1; -1}}
10_2,{0; 4; {2; 4; 4; -4; 1}; {2; 4; 10; -14; 6}; {2; 4; 6; -16; 5}; {2; 4; 1; -7; 1}; {3; 3; -1}}
10_3,{0; 1; {-2; 3; 1; 0; 0; -1; 0; 1}; {-1; 2; -1; -2; -2; -1}}
10_4,{0; 2; {-2; 2; 1; 0; 0; -2; 2}; {-2; 2; 1; -2; -2; -3; 1}; {-1; 1; -1; -1; -1}}
10_5,{0; 4; {-3; -1; -3; 5; -1}; {-3; -1; -7; 17; -6}; {-3; -1; -5; 17; -5}; {-3; -1; -1; 7; -1}; {-2; -2; 1}}
10_6,{0; 3; {1; 4; 3; -2; -1; 1}; {1; 4; 4; -4; -4; 3}; {1; 4; 1; -4; -4; 1}; {2; 3; -1; -1}}
10_7,{0; 2; {0; 4; 1; 0; 1; -2; 1}; {0; 4; 1; -1; 0; -2; 1}; {1; 3; -1; -1; -1}}
10_8,{0; 3; {0; 3; 3; -3; 0; 1}; {0; 3; 4; -7; -3; 3}; {0; 3; 1; -5; -4; 1}; {1; 2; -1; -1}}
10_9,{0; 4; {0; 2; 3; -4; 2}; {0; 2; 7; -16; 7}; {0; 2; 5; -17; 5}; {0; 2; 1; -7; 1}; {1; 1; -1}}
10_10,{0; 2; {-3; 0; -1; 2; -1; 1}; {-3; 1; -1; 2; 0; 1; -1}; {-2; 0; 1; 1; 1}}
10_11,{0; 2; {-1; 3; 2; -1; -1; 0; 1}; {-1; 3; 1; -2; -4; -1; 1}; {0; 2; -1; -2; -1}}
10_12,{0; 3; {-3; 0; -2; 2; 2; -1}; {-3; 0; -3; 5; 5; -3}; {-3; 0; -1; 4; 4; -1}; {-2; -1; 1; 1}}
10_13,{0; 2; {-2; 3; 1; 0; -1; 1; -1; 1}; {-1; 2; -2; -1; 0; -2}; {0; 1; 1; 1}}
10_14,{0; 3; {1; 3; 1; 1; -1}; {1; 4; 3; -1; -2; 2}; {1; 4; 1; -3; -3; 1}; {2; 3; -1; -1}}
10_15,{0; 3; {-2; 1; -2; 3; 1; -1}; {-2; 1; -3; 5; 4; -3}; {-2; 1; -1; 4; 4; -1}; {-1; 0; 1; 1}}
10_16,{0; 2; {-1; 3; 1; 1; -2; 0; 1}; {-1; 3; 1; -1; -4; -1; 1}; {0; 2; -1; -2; -1}}
10_17,{0; 4; {-1; 1; -2; 5; -2}; {-1; 1; -7; 16; -7}; {-1; 1; -5; 17; -5}; {-1; 1; -1; 7; -1}; {0; 0; 1}}
10_18,{0; 2; {-1; 2; 1; 0; -1; 1}; {-1; 3; 1; -1; -3; 0; 1}; {0; 2; -1; -2; -1}}
10_19,{0; 3; {-1; 1; -1; 3; -1}; {-1; 2; -3; 5; 1; -2}; {-1; 2; -1; 4; 3; -1}; {0; 1; 1; 1}}
10_20,{0; 2; {0; 4; 2; -1; 0; -1; 1}; {0; 4; 1; -2; -1; -2; 1}; {1; 3; -1; -1; -1}}
10_21,{0; 3; {1; 4; 1; 2; -3; 1}; {1; 4; 3; 0; -5; 3}; {1; 4; 1; -3; -4; 1}; {2; 3; -1; -1}}
10_22,{0; 3; {-1; 2; 2; -1; -2; 2}; {-1; 2; 3; -5; -5; 3}; {-1; 2; 1; -4; -4; 1}; {0; 1; -1; -1}}
10_23,{0; 3; {-3; -2; -2; 3}; {-3; 0; -3; 6; 2; -2}; {-3; 0; -1; 4; 3; -1}; {-2; -1; 1; 1}}
10_24,{0; 2; {0; 4; 1; 1; -1; -1; 1}; {0; 4; 1; 0; -3; -1; 1}; {1; 3; -1; -2; -1}}
10_25,{0; 3; {1; 4; 2; 0; -2; 1}; {1; 4; 3; -2; -3; 2}; {1; 4; 1; -3; -3; 1}; {2; 3; -1; -1}}
10_26,{0; 3; {-1; 2; 1; 1; -3; 2}; {-1; 2; 2; -2; -6; 3}; {-1; 2; 1; -3; -4; 1}; {0; 1; -1; -1}}
10_27,{0; 3; {-3; -1; -1; 1; 1}; {-3; 0; -2; 3; 3; -2}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_28,{0; 2; {-3; 0; -1; 0; 3; -1}; {-3; 1; -1; 1; 4; 0; -1}; {-2; 0; 1; 2; 1}}
10_29,{0; 3; {-1; 3; 2; -2; 1; -1; 1}; {-1; 3; 1; -5; 3; -4; 1}; {0; 2; -2; 3; -2}; {1; 1; 1}}
10_30,{0; 2; {1; 2; 2; -1}; {0; 4; 1; 1; -2; 0; 1}; {1; 3; -1; -2; -1}}
10_31,{0; 2; {-2; 1; -1; 1; 2; -1}; {-2; 2; -1; 1; 3; 0; -1}; {-1; 1; 1; 2; 1}}
10_32,{0; 3; {-1; 1; 1; -1; 1}; {-1; 2; 2; -3; -2; 2}; {-1; 2; 1; -3; -3; 1}; {0; 1; -1; -1}}
10_33,{0; 2; {0; 0; 1}; {-2; 2; -1; 0; 2; 0; -1}; {-1; 1; 1; 2; 1}}
10_34,{0; 2; {-3; 1; -1; 1; 0; 2; -1}; {-3; 1; -1; 2; 1; 2; -1}; {-2; 0; 1; 1; 1}}
10_35,{0; 2; {-3; 2; 1; -1; 0; 1; -1; 1}; {-2; 1; -2; 0; 0; -2}; {-1; 0; 1; 1}}
10_36,{0; 2; {0; 3; 1; -1; 2; -1}; {0; 4; 1; -1; 1; -1; 1}; {1; 3; -1; -1; -1}}
10_37,{0; 2; {-2; 2; -1; 1; 1; 1; -1}; {-2; 2; -1; 1; 3; 1; -1}; {-1; 1; 1; 2; 1}}
10_38,{0; 2; {0; 3; 1; 1; -2; 1}; {0; 4; 1; 0; -3; 0; 1}; {1; 3; -1; -2; -1}}
10_39,{0; 3; {1; 2; 2; -1}; {1; 4; 3; -2; -2; 2}; {1; 4; 1; -3; -3; 1}; {2; 3; -1; -1}}
10_40,{0; 3; {-3; 0; -1; 0; 3; -1}; {-3; 0; -2; 3; 4; -2}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_41,{0; 3; {-1; 3; 1; -1; 2; -2; 1}; {-1; 3; 1; -4; 4; -4; 1}; {0; 2; -2; 3; -2}; {1; 1; 1}}
10_42,{0; 3; {-2; 1; -1; 3; -2; 1}; {-2; 2; -1; 4; -5; 3; -1}; {-1; 1; 2; -3; 2}; {0; 0; -1}}
10_43,{0; 3; {-2; 2; -1; 2; -1; 2; -1}; {-2; 2; -1; 4; -4; 4; -1}; {-1; 1; 2; -3; 2}; {0; 0; -1}}
10_44,{0; 3; {-1; 2; 1; -2; 3; -1}; {-1; 3; 1; -4; 5; -3; 1}; {0; 2; -2; 3; -2}; {1; 1; 1}}
10_45,{0; 3; {-1; 1; 2; -3; 2}; {-2; 2; -1; 3; -6; 3; -1}; {-1; 1; 2; -3; 2}; {0; 0; -1}}
10_46,{0; 4; {2; 4; 6; -8; 3}; {2; 4; 11; -18; 7}; {2; 4; 6; -17; 5}; {2; 4; 1; -7; 1}; {3; 3; -1}}
10_47,{0; 4; {-3; -1; -5; 9; -3}; {-3; -1; -8; 21; -7}; {-3; -1; -5; 18; -5}; {-3; -1; -1; 7; -1}; {-2; -2; 1}}
10_48,{0; 4; {-1; 1; -4; 9; -4}; {-1; 1; -8; 20; -8}; {-1; 1; -5; 18; -5}; {-1; 1; -1; 7; -1}; {0; 0; 1}}
10_49,{0; 3; {3; 6; 1; 5; -7; 2}; {3; 6; 4; 12; -10; 1}; {3; 5; 4; 9; -3}; {3; 4; 1; 2}}
10_50,{0; 3; {1; 4; 2; 1; -4; 2}; {1; 4; 3; -1; -6; 3}; {1; 4; 1; -3; -4; 1}; {2; 3; -1; -1}}
10_51,{0; 3; {-3; 0; -3; 4; 1; -1}; {-3; 0; -3; 7; 3; -2}; {-3; 0; -1; 4; 3; -1}; {-2; -1; 1; 1}}
10_52,{0; 3; {-1; 2; -2; 4; 0; -1}; {-1; 2; -3; 6; 2; -2}; {-1; 2; -1; 4; 3; -1}; {0; 1; 1; 1}}
10_53,{0; 2; {3; 6; 3; 0; -3; 1}; {2; 5; 1; 6; 2; -3}; {2; 4; 1; 3; 2}}
10_54,{0; 3; {-2; 1; -2; 2; 3; -2}; {-2; 1; -3; 5; 5; -3}; {-2; 1; -1; 4; 4; -1}; {-1; 0; 1; 1}}
10_55,{0; 2; {2; 6; 1; 1; 1; -3; 1}; {2; 5; 2; 3; 3; -3}; {2; 4; 1; 2; 2}}
10_56,{0; 3; {1; 4; 2; 0; -2; 1}; {1; 4; 3; -2; -3; 2}; {1; 4; 1; -3; -3; 1}; {2; 3; -1; -1}}
10_57,{0; 3; {-3; 0; -2; 2; 2; -1}; {-3; 0; -2; 4; 4; -2}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_58,{0; 2; {-2; 3; 1; 0; -2; 3; -2; 1}; {-1; 2; -2; -2; 3; -3}; {0; 1; 1; 2}}
10_59,{0; 3; {-1; 3; 1; -2; 4; -3; 1}; {-1; 3; 1; -4; 5; -4; 1}; {0; 2; -2; 3; -2}; {1; 1; 1}}
10_60,{0; 3; {-3; 1; 1; -3; 4; -2; 1}; {-2; 1; -3; 6; -5; 1}; {-1; 1; 3; -3; 1}; {0; 0; -1}}
10_61,{0; 3; {0; 3; 4; -5; 1; 1}; {0; 3; 4; -8; -3; 3}; {0; 3; 1; -5; -4; 1}; {1; 2; -1; -1}}
10_62,{0; 4; {-3; -1; -4; 7; -2}; {-3; -1; -8; 20; -7}; {-3; -1; -5; 18; -5}; {-3; -1; -1; 7; -1}; {-2; -2; 1}}
10_63,{0; 2; {2; 6; 1; 0; 3; -4; 1}; {2; 5; 2; 3; 4; -3}; {2; 4; 1; 2; 2}}
10_64,{0; 4; {0; 2; 4; -6; 3}; {0; 2; 8; -19; 8}; {0; 2; 5; -18; 5}; {0; 2; 1; -7; 1}; {1; 1; -1}}
10_65,{0; 3; {-3; -1; -3; 5; -1}; {-3; 0; -3; 7; 2; -2}; {-3; 0; -1; 4; 3; -1}; {-2; -1; 1; 1}}
10_66,{0; 3; {3; 6; 2; 2; -4; 1}; {3; 6; 5; 9; -8; 1}; {3; 5; 4; 8; -3}; {3; 4; 1; 2}}
10_67,{0; 2; {0; 0; 1}; {0; 4; 1; 0; -2; 0; 1}; {1; 3; -1; -2; -1}}
10_68,{0; 2; {-3; -1; -1; 1; 1}; {-3; 1; -1; 1; 3; 0; -1}; {-2; 0; 1; 2; 1}}
10_69,{0; 3; {-4; -1; -1; 2; -2; 2}; {-3; 0; 3; -5; 5; -1}; {-2; 0; -3; 3; -1}; {-1; -1; 1}}
10_70,{0; 3; {-3; 1; 1; -2; 3; -3; 2}; {-3; 1; 1; -4; 4; -5; 1}; {-2; 0; -2; 3; -2}; {-1; -1; 1}}
10_71,{0; 3; {-2; 2; -1; 3; -3; 3; -1}; {-2; 2; -1; 4; -5; 4; -1}; {-1; 1; 2; -3; 2}; {0; 0; -1}}
10_72,{0; 3; {1; 4; 2; -2; 2; -1}; {1; 4; 3; -3; 1; 1}; {1; 4; 1; -3; -2; 1}; {2; 3; -1; -1}}
10_73,{0; 3; {-4; -1; -1; 3; -4; 3}; {-3; 0; 3; -6; 5; -1}; {-2; 0; -3; 3; -1}; {-1; -1; 1}}
10_74,{0; 2; {1; 4; 2; 0; -2; 1}; {0; 4; 1; 1; -2; -1; 1}; {1; 3; -1; -2; -1}}
10_75,{0; 3; {-3; -1; 1; -3; 3}; {-2; 1; -3; 6; -4; 1}; {-1; 1; 3; -3; 1}; {0; 0; -1}}
10_76,{0; 3; {1; 4; 4; -4; 0; 1}; {1; 4; 4; -6; -2; 2}; {1; 4; 1; -4; -3; 1}; {2; 3; -1; -1}}
10_77,{0; 3; {-3; 0; -1; -1; 5; -2}; {-3; 0; -2; 2; 7; -3}; {-3; 0; -1; 3; 4; -1}; {-2; -1; 1; 1}}
10_78,{0; 3; {1; 5; 1; -1; 4; -4; 1}; {1; 4; 2; -3; 7; -3}; {1; 3; 1; -3; 3}; {2; 2; -1}}
10_79,{0; 4; {-1; 1; -5; 11; -5}; {-1; 1; -9; 23; -9}; {-1; 1; -5; 19; -5}; {-1; 1; -1; 7; -1}; {0; 0; 1}}
10_80,{0; 3; {3; 6; 2; 3; -6; 2}; {3; 6; 5; 9; -9; 1}; {3; 5; 4; 8; -3}; {3; 4; 1; 2}}
10_81,{0; 3; {-2; 2; -1; 1; 1; 1; -1}; {-2; 2; -1; 3; -1; 3; -1}; {-1; 1; 2; -2; 2}; {0; 0; -1}}
10_82,{0; 4; {0; 0; 1}; {0; 2; 4; -8; 4}; {0; 2; 4; -12; 4}; {0; 2; 1; -6; 1}; {1; 1; -1}}
10_83,{0; 3; {-3; 0; -1; 2; -1; 1}; {-3; 0; -2; 4; 0; -1}; {-3; 0; -1; 3; 2; -1}; {-2; -1; 1; 1}}
10_84,{0; 3; {0; 2; -1; 4; -2}; {0; 3; -2; 5; 0; -1}; {0; 3; -1; 3; 2; -1}; {1; 2; 1; 1}}
10_85,{0; 4; {-3; -1; -1; 1; 1}; {-3; -1; -4; 9; -3}; {-3; -1; -4; 12; -4}; {-3; -1; -1; 6; -1}; {-2; -2; 1}}
10_86,{0; 3; {0; 2; 2; -2; 1}; {-1; 2; 1; 0; -4; 2}; {-1; 2; 1; -2; -3; 1}; {0; 1; -1; -1}}
10_87,{0; 3; {-1; 2; 1; -2; 3; -1}; {-1; 2; 2; -4; 1; 1}; {-1; 2; 1; -3; -2; 1}; {0; 1; -1; -1}}
10_88,{0; 3; {-1; 1; 1; -1; 1}; {-2; 2; -1; 2; -3; 2; -1}; {-1; 1; 2; -2; 2}; {0; 0; -1}}
10_89,{0; 3; {-4; 0; -1; 2; -1; 0; 1}; {-3; -1; 3; -4; 2}; {-2; 0; -3; 2; -1}; {-1; -1; 1}}
10_90,{0; 3; {-1; 2; 2; -2; 0; 1}; {-1; 2; 2; -4; -3; 2}; {-1; 2; 1; -3; -3; 1}; {0; 1; -1; -1}}
10_91,{0; 4; {-1; 1; -2; 5; -2}; {-1; 1; -5; 12; -5}; {-1; 1; -4; 13; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_92,{0; 3; {1; 3; 1; 1; -1}; {1; 4; 2; 0; -1; 1}; {1; 4; 1; -2; -2; 1}; {2; 3; -1; -1}}
10_93,{0; 3; {-2; -1; -1; 2}; {-2; 1; -2; 3; 2; -2}; {-2; 1; -1; 3; 3; -1}; {-1; 0; 1; 1}}
10_94,{0; 4; {0; 2; 3; -4; 2}; {0; 2; 5; -12; 5}; {0; 2; 4; -13; 4}; {0; 2; 1; -6; 1}; {1; 1; -1}}
10_95,{0; 3; {-3; -2; -2; 3}; {-3; 0; -2; 5; 1; -1}; {-3; 0; -1; 3; 2; -1}; {-2; -1; 1; 1}}
10_96,{0; 3; {-3; 1; 1; -2; 3; -3; 2}; {-2; 1; -3; 5; -6; 1}; {-1; 1; 3; -3; 1}; {0; 0; -1}}
10_97,{0; 2; {1; 4; 2; -2; 2; -1}; {0; 4; 1; 2; -4; 2; 1}; {1; 3; -1; -3; -1}}
10_98,{0; 3; {1; 4; 1; 3; -5; 2}; {1; 4; 2; 1; -5; 2}; {1; 4; 1; -2; -3; 1}; {2; 3; -1; -1}}
10_99,{0; 4; {-1; 1; -4; 9; -4}; {-1; 1; -6; 16; -6}; {-1; 1; -4; 14; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_100,{0; 4; {-3; -1; -3; 5; -1}; {-3; -1; -5; 13; -4}; {-3; -1; -4; 13; -4}; {-3; -1; -1; 6; -1}; {-2; -2; 1}}
10_101,{0; 2; {3; 6; 2; 2; -4; 1}; {2; 5; 1; 5; 5; -4}; {2; 4; 1; 3; 3}}
10_102,{0; 3; {-1; 2; 1; 0; -1; 1}; {-1; 2; 2; -3; -3; 2}; {-1; 2; 1; -3; -3; 1}; {0; 1; -1; -1}}
10_103,{0; 3; {-3; 0; -1; 0; 3; -1}; {-3; 0; -2; 3; 4; -2}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_104,{0; 4; {-1; 1; -1; 3; -1}; {-1; 1; -5; 11; -5}; {-1; 1; -4; 13; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_105,{0; 3; {-1; 1; 1; -1; 1}; {-1; 3; 1; -3; 2; -2; 1}; {0; 2; -2; 2; -2}; {1; 1; 1}}
10_106,{0; 4; {0; 2; 2; -2; 1}; {0; 2; 5; -11; 5}; {0; 2; 4; -13; 4}; {0; 2; 1; -6; 1}; {1; 1; -1}}
10_107,{0; 3; {-2; -1; -1; 2}; {-2; 2; -1; 3; -2; 2; -1}; {-1; 1; 2; -2; 2}; {0; 0; -1}}
10_108,{0; 3; {0; 0; 1}; {-1; 2; -2; 2; 2; -2}; {-1; 2; -1; 3; 3; -1}; {0; 1; 1; 1}}
10_109,{0; 4; {-1; 1; -3; 7; -3}; {-1; 1; -6; 15; -6}; {-1; 1; -4; 14; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_110,{0; 3; {-1; 3; 1; 0; 0; -1; 1}; {-1; 3; 1; -3; 1; -3; 1}; {0; 2; -2; 2; -2}; {1; 1; 1}}
